clean_tweet,label,label_id
normal kan kita stress or penat bila belajar ye lah dengan assignments banyak pastu anak kejar deadline untuk submit lagi tapi i tak anak bagitau pon i stress ke penat ke sebab i ada satu perasaan takut yang orang akan cukup padan muka kamu sapa suruh kamu sambung study,disgust,1
oke coba koreksi ini sebagian besar orang indonesia males dibuat pintar tapi justru happy dibuat bodoh cc username,sadness,6
saya penat ye throwback dengan eah apa yang kitaorang pernah buat macam takde otak,disgust,1
syukur tersenarai,joy,4
cerita horor ku malam ini huehehe jadi saya ingin tidur jadi saya mandi biar dingin selimutan langsung tidur sudah begitu sudah mandi nih saya semprot muka kan pakai air mawar,fear,2
sempet x tahun kemarin main kejakarta hanya lewat tidak sempet sholat disini sekarang alhamdulillah dapat kesempatan hari ini ada yang tahu kah daerah masjid istiqlal tempat makan enak url,happy,3
lagi heboh asus rog phone memang pada kuat belinya wahai sobat kisminku mending save gambarnya saja mirip saya biar pas rilis sudah bosan liatnya jadi tidak begitu nafsu ingin beli,sadness,6
jika rindu adalah penjara mengapa saya masih betah mendekam di dalamnya coba katakan bagaimana caranya agar terbebas dari kata yang serupa kutukan itu memburu dan terus melaju di setiap degub jantungku,love,5
oke stop bahas soal cinta an muak aing back to reality teman saya dulu juga ada yang pernah nyinyirin pekerjaan ojol ganteng ganteng nanti eh tahunya jadi ojol saja hahahah bapak bapak ojolnya tadi rese sekali sudah anjir saya kasih bintang saja,disgust,1
tapi sayang kelemahannya cuma harganya memang masih belum rilis sih harganya berapa tapi kalau saya liat dari videonya dibandinginnya sama hp huawei porsche design yang lebih mahal dari iphone x kaga tahu sudah itu hp akan laku apa kaga di indonesia,sadness,6
dkaruniai akal dan pikiran tolong tingkahnya djaga heran bets sama warga yang begini ditegur pasangan suami istri belanja pakai hazmat sempat ngeyel bilang begini,surprise,7
username username dari pertama username menduduki bangku jabatan anda rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan coba tanya kenapa username abdi rakyat butuh seoran,anger,0
entah sampai kapan saya bisa pergi jalan tanpa ada perbebatan dulu ya gini memang anak sulung mau pergi saja tidak dibolehin gegara adik nangis kejer dan ingin ikut nempel terus sudah kek perangko hm,sadness,6
tidak disangka tersinggung saya langsung di saya hello tapi tidak komen di status dengan keadaan dia sudah liat status ku yaampun girang dong karena sebenarnya saya selalu caper kalau bikin status di saya dengan harapan di komen puji tuhan kali ini peka,happy,3
when sexual harrassment jadi hot topoc di semua medsos diawali sama yucub opini mba gitasav skandal gitasav yang ramai ampe accoun twitter doi dideactive dan diakhiri mbak via vallen yang blow up chat doi sam sam bule masih tidak sold out thinking sama orang yang bicara,anger,0
syukur alhamdulillah,joy,4
cinta itu aneh semakin kamu berusaha menghapus dia dari hatimu semakin sering dia muncul di pikiranmu,love,5
di instagram hits hype parah terkece lah followers banyak cakap cakap lagi bikin story rajin tapi giliran stok foto dia abis larinya ke saya mengajak hunting sana sini kan anying ya kamu pikir gengsi dibawa mati,anger,0
belum berani ber iklan sih takut boncos,fear,2
karena makan bersama sambil berbincang dengan orang tersayang itu terasa nikmat by me taichangoreng,happy,3
idealnya memang kpk harus tingkatkan status ganjar dari saksi menjadi tersangka agar kecurigaan bahwa dia di lindungi oleh kekuasaan bisa cair dan kpk pun bisa di percaya lagi,anger,0
keren sekali sumpah saya mau nangis sangkin kerennya saya makin sayang sekali sama kalian jangan lupa streaming aroha,love,5
lagi ada suntik campak begitu awalnya tidak tahu pas sekali mau pipis pas mau balik ke kelas tidak sengaja liat orang bawa kotak begitu saya pikir pasti suntik karena takut yaudah tahunya saya lari duluan sambil teriak suntik suntik,fear,2
sudah penat jadi pandai latu,disgust,1
kenapa sih setiap lagi gugup pasti bawaannya sakit perut,fear,2
klikbca seringkali susah dimaksud termasuk sekarang kalau dijawab internet saya bermasalah saya akan bilang itu omong kosong karena saya tidak ada masalah buka website lain,anger,0
username saya juga begitu ke semua orang apalagi orangtua makin hari makin tua dan saya tidak tahu mereka sadar apa tidak kalau saya sayang sama mereka anjir payah sangat gaktuh saya tapi beda kalau ke kakak atau pacar kalau lagi punya ekspresiinnya lebih gampang,love,5
kalau sengsara gegara tidak bisa nyolong jangan curhat terus ngenes,sadness,6
duh nad itu bisa saja sih kamu sampai di serang fans kencing saja belum lurus kaga tahu apa dia kamu eksoel dari jaman teaser beribu episode itu jaman masih lengkap,happy,3
anak zaman now lulusan saja pakai toga segala un di aula mahal lah kita dulu lulus sd paling banter perpisahan ke cibodas or anyer naik bis,sadness,6
cont saja tetapi ia juga yang membuat si lelaki kesal seperti itu bagaimana ini berdiam diri sembari menikmati perasaan bersalah sungguh menyiksa inilah mengapa raira tidak terlalu suka berhubungan dengan orang lain katakan bahwa selama ini ia cont,sadness,6
ingin cerita dari kemarin tidak sempet beberapa hari yang lalu tarawih di masjid tidak konsentrasi sekali posisi lagi apes gimana tidak posisi solat di shaf depan ada mas pakai sarung terus sarung nya nyeplak pantatnya pas sekali ketat kampret pen terbahak-bahak tapi lagi solat syit,happy,3
menurut saya prof koruptor itu sama saja dengan membunuh generasi anak cucu secara perlahan prof saya setuju jika para koruptor kelas kakap di hukum mati dan di miskin kan url,anger,0
username pilih pemimpin yang happy mnerima kritikan jujur terbuka sll bermusyawarah tidak hobby menyerang serta berjiwa besar maka proses mbangun peradaban guna pencapaian terbaik sebuah negara akan mdptkan hasil maksimal in shaa allah,happy,3
ya begini deh nganggur di tempat kerja karena sudah selesai berakhir dengan cuat cuit di twitter mau ghibah sama mbak mbak sungkan lagi puasa ehe tiga jam kemudian dia pasti ngajakin membicarakan orang kok kebiasaan banyak istighfar,sadness,6
drama kmarin sore seharian puasa terus pas lagi mandi kaget bcz kedatangan tamu tak diundang pas sangat woi pas lagi adzan maghrib terus jadi galau dong seharian itu dianggap sah puasa apa tidak,fear,2
username min ini gimana kurirnya salah kirim malah ke alamat orang terus pertanggung jawabannya gimana tolong respon secepatnya thanks url,anger,0
username tidak usah terobsesi untuk punya pacar gapenting masih taun juga santai ajaa dd kalau kamu tidak mau tinggalkan malah cowok yang lebih baik tidak ada yang bisa deketin kamu mba d,happy,3
wajar dong ada perbedaan pendapat kalimat kamu yang ini sebetulnya secara tidak langsung sudah membenarkan kalau kamu tidak boleh ambil pusing sama kata jijik yang saya bilang kok kamu masih ambil pusing sih,disgust,1
username pendidikan mah nomor donk za btw saya sepertinya pilih nyekolahin anak negeri saja gedein pengeluarannya di jalan kan itu pendidikan juga buat saya karena mengalami adalah belajar juga,happy,3
susah sekali ya jadi orang terkenal takut bet if someday im being famous semua aib ku di masa lalu dibahas dan dikupas tuntas my random thoughts dipagi ini,fear,2
chenle benar jaemin ssi sangat gu ah jeno ssi sangat gugup,fear,2
username username anak sipil kuliah tahun buat lulus ada jerih payah tiap detiknya cuma dinyirnyirin tidak jelas gini ya allah ya rabb mulut netizen maha benar memang,sadness,6
username oppa kenal yang kyungie charain tidak tak kenal maka tak sayang makan nya sini kenalan sama kyungie dan bicara sama kyungie pasti kita cocok kyungie bakal lakuin terbaik sebisa kyungie kalau ke verif makannya oppa verif kyungie j,happy,3
dua teman sudah menikah dari dua teman tersebut mereka pindah agama semua satu muslim ke kristen dan hindu ke muslim semoga saya di beri jodoh yang seiman dan sejalan,fear,2
sama sekali tidak arab lokal tidak peduli kok dengan cara berbusana orang lain banyak arab pendatang dan tidak semua berhijab orang asia dan bule bahkan bisa pakai tanktop dan celana pendek ke mall,anger,0
tuhan izinkan saya bahagiakan orangtuaku sebelum akhirnya mereka tertidur di peristirahatanya yang terakhir,fear,2
tempat sampah made in jerman itu oke kok positif thnkng saja indonesia belum bisa bikin bus tongtong ganti scania juga pada suka kan yang penting tidak dikorupsi ajasih,sadness,6
hei bos hati kalau buat nama anjing laoli itu marga dari suku nias saya sedikit tersinggung dengan pernyataan anda ini,anger,0
tidak cinta tidak benci dan tidak peduli,sadness,6
ampunn nanti kalau lider murka tidak dapat makan seharian penuh,anger,0
yaa my mom pun cleaner je but saya bangga jadi anak dia,joy,4
