tweet,clean_tweet,label,label_id
wah belom liat muka gue lagi murka hahahaha,wah belum liat muka saya lagi murka,joy,4
"Mungkin kurang piknik adrenalin. Mereka yg skeptis tuh kek bad-debitor yg mau seluruh data debitur bank hilang, atau kek mahasiswa-pemalas yg ngarepin data nilai seluruh kampus hancur. Kaum ""merasa"" paling sengsara yg gak mo pusing sendirian oleh masalahnya.",mungkin kurang piknik adrenalin mereka yang skeptis tuh kek bad debitor yang mau seluruh data debitur bank hilang atau kek mahasiswa pemalas yang ngarepin data nilai seluruh kampus hancur kaum merasa paling sengsara yang tidak mau pusing sendirian oleh masalahnya,anger,0
"maaf kalo tersinggung ""orang kurus cepet mati"" woe ijat tulisan ""maaf kalo tersinggung"" itu tidak berguna",maaf kalau tersinggung orang kurus cepat mati woe ijat tulisan maaf kalau tersinggung itu tidak berguna,anger,0
berserah pada maha esa paling tabah dan sabar selawat dan zikir banyak2 masa nak ambil result result 6A3B+ buat sujud syukur depan orang ramai dia la yang akan buat ceramah bekas pelajar spm to calon2 spm yang akan datang,berserah pada maha esa paling tabah dan sabar selawat dan zikir banyak masa anak ambil result result a b buat sujud syukur depan orang ramai dia la yang akan buat ceramah bekas pelajar spm to calon spm yang akan datang,joy,4
Ehekk malu la hahahahahahaha,ehekk malu la,sadness,6
WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2,kesal saya bacanya tapi kok senyum,anger,0
Yg membuat lidahku. Gugup tak bergerak,yang membuat lidahku gugup tak bergerak,fear,2
"Lho kok buru-buru mengatakan orang marah? Keknya anda salah tafsir. Bukan marah sih, cuma mual-mual karena jijik.",lho kok buru buru mengatakan orang marah sepertinya anda salah tafsir bukan marah sih cuma mual mual karena jijik,disgust,1
Gila sih itu ngeri bgt galiannya,gila sih itu ngeri sangat galiannya,fear,2
"Kesal masih belom, ngantuk iya",kesal masih belum ngantuk iya,anger,0
"Apalagi yg jualan Spotify premium banyak banget, lama-lama bikin risih",apalagi yang jualan spotify premium banyak sekali lama lama bikin risih,disgust,1
Buaya darat buset aku tertipu lagi,buaya darat buset saya tertipu lagi,surprise,7
anjr ngeri bgt,anjr ngeri sangat,fear,2
"kalo lu gitugitu aja masih kurang syukur, gimana gua nad?! wkwk",kalau kamu gitugitu saja masih kurang syukur gimana saya nad,joy,4
"Semoga jangan deh. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan:"")",semoga jangan deh saya juga semingguan ini mimpi aneh aneh random sangat jadi takut kalau benar kenyataan,fear,2
Hahaha. Memang pun. Baru guna sem ni mmg sakit la.. Terkejut,memang pun baru guna sem ini memang sakit la terkejut,joy,4
Cukup untuk Kita: Selalu ada alasan mengapaSemesta menghadirkan tanda tanya Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna Dalam setiap Berita Unsri,cukup untuk kita selalu ada alasan mengapasemesta menghadirkan tanda tanya dalam relung hati setiap manusia pada saat menyentuh beberapa peringatan dan duka akan selalu hadir beberapa isyarat bias yang seolah hampa makna dalam setiap berita unsri,anger,0
"Makane ku juga heran, napa gk skip aja seh yg ini, sumpeh malesin banget",makane ku juga heran kenapa tidak skip saja seh yang ini sumpeh malesin sekali,surprise,7
